episode,total_reward
1,2734.69912009
2,2734.71488186
3,2734.70717707
4,2734.70680075
5,2734.70208543
6,2734.69334194
7,2734.7498415
8,5744.52172952
9,2187.65364627
10,3007.54871357
11,2461.00448556
12,2734.18626352
13,3007.66139741
14,2734.76844395
15,3554.47334822
16,2733.73198032
17,2187.2075546
18,2187.12378034
19,2733.40980958
20,2460.05062527
21,1913.65144573
22,1913.59790737
23,2186.67651117
24,1913.52922987
25,2186.62865956
26,1913.26854915
27,1913.19844735
28,1640.14201082
29,1640.08139852
30,1913.34187119
31,1913.41840702
32,2186.67611316
33,1913.41393711
34,1640.34468548
35,1913.39726323
36,1913.49528458
37,1913.53195739
38,2733.30082684
39,4375.01985497
40,2460.31462565
41,1913.53596325
42,2186.81851442
43,2186.90456638
44,2186.92683264
45,2187.276438
46,1640.04621065
47,1640.19878064
48,2735.02193378
49,2187.33845931
50,1913.74197493
51,1640.32521391
52,1640.19565565
53,1640.1476488
54,1640.13105407
55,1640.14372085
56,1640.36732043
57,1913.71053825
58,2460.916459
59,1913.53523555
60,1640.36836541
61,1913.48875667
62,1640.30751361
63,1640.35544281
64,3006.64130373
65,1913.62158485
66,1913.52701731
67,1640.29348502
68,1640.29621245
69,1640.27815498
70,1640.31665016
71,1640.14356335
72,1640.12269606
73,1640.16887597
74,1913.50244728
75,1913.59463542
76,7664.04356521
77,1913.48448801
78,1640.13517473
79,1913.39262318
80,2186.87201514
81,1366.98689645
82,1913.63386271
83,2460.12964271
84,2460.90191915
85,4100.77816863
86,5733.57148103
87,3827.75724254
88,2461.98961517
89,5202.71905627
90,3552.31095155
91,1640.23177452
92,1640.28384721
93,3281.12547342
94,1640.29849705
95,1640.50466042
96,2186.993924
97,1913.4000312
98,1914.04946583
99,2187.24440387
100,1913.65099017
101,1640.46212475
102,1914.38398036
103,4649.96146218
104,3558.04497386
105,3555.0593021
106,1914.64331526
107,3281.54109963
108,2461.43270539
109,1914.69782221
110,9032.23995471
111,7415.14328847
112,1914.32259262
113,3554.18103687
114,1914.07048745
115,1640.41567128
116,1367.14507348
117,1367.12248044
118,1640.15651747
119,1640.30093894
120,1640.37820394
121,1640.32607096
122,1640.43430787
123,1640.38045495
124,1640.27627719
125,2460.56965818
126,4377.9919241
127,3555.51640478
128,3010.19953162
129,4650.95367467
130,3283.53913389
131,4104.29376456
132,22985.6795108
133,1913.40052353
134,10454.1653432
135,23686.8640654
136,23670.5616113
137,23608.8256499
138,2187.16686992
139,2187.16951868
140,2187.15796758
141,2187.18535398
142,2187.165244
143,2187.17890086
144,2187.15900874
145,2187.16199163
146,2187.16515107
147,2187.16860159
148,2187.15272346
149,2187.17911144
150,2187.19688608
151,2187.1897207
152,2187.17399715
153,2187.16432927
154,2187.16327287
155,2187.18488242
156,2187.15974874
157,2187.14498747
158,2187.19789206
159,2187.16831007
160,2187.14879982
161,2187.16495855
162,2187.1333355
163,2187.18825226
164,2187.16007985
165,2187.17851842
166,2187.1566661
167,2187.15287151
168,2187.16578408
169,2187.16760849
170,2187.17064314
171,2187.17882264
172,2187.16232603
173,2187.15887784
174,2460.8833734
175,7139.12531683
176,6598.34437197
177,24216.9604804
178,7143.03643208
179,23882.3786925
180,20587.1929011
181,3834.48191415
182,23666.8876451
183,4110.58734886
184,16998.4010153
185,4931.41311324
186,4658.15667005
187,5210.58647733
188,15463.7882415
189,21824.8590276
190,24375.6073472
191,21504.9430417
192,19114.4587665
193,24057.1386005
194,23710.0784565
195,23681.1000836
196,23645.6980692
197,23631.1904354
198,23547.1388837
199,23787.7659985
200,24227.0903009
201,23970.6447934
202,23366.5353245
203,24098.9020385
204,24198.6205375
205,23841.0830782
206,23730.9426702
207,24206.4767035
208,24017.8293567
209,23845.8161471
210,24087.705196
211,24159.6333903
212,24152.5245919
213,23658.1575189
214,23738.3729369
215,23542.2220665
216,23688.3897805
217,23697.6891814
218,23684.3422143
219,23666.7461504
220,23674.7767552
221,23640.3507858
222,23667.6598548
223,23562.1027154
224,23665.4479927
225,23554.7828484
226,23670.5305001
227,23672.8498792
228,23693.1536508
229,23644.9751686
230,23676.8482839
231,23697.0609157
232,23688.6693109
233,23673.4618223
234,23695.8300381
235,23698.4324819
236,24112.5973515
237,23964.9509117
238,19661.8561048
239,2461.8317329
240,3282.67293842
241,3008.75876947
242,2187.76322544
243,2734.59642791
244,2734.60317236
245,3009.1744996
246,2735.24546219
247,2734.87226236
248,2735.97138857
249,3556.71529054
250,5480.67837503
251,4929.72193232
252,4105.00952282
253,3830.32556947
254,3555.76888072
255,3008.16969255
256,2735.12097723
257,3281.89335551
258,2461.55020336
259,2187.68594944
260,4105.54787169
261,2462.32938461
262,2735.08932996
263,2187.62529997
264,1640.30730024
265,2187.16561384
266,1640.24552853
267,2186.91833318
268,1640.31165328
269,1913.83581115
270,1640.34959648
271,1640.28798686
272,1913.51471827
273,1640.24597087
274,2186.80192884
275,2186.96431136
276,1913.63488769
277,2186.88889496
278,2186.87150368
279,2186.98750195
280,2460.39758536
281,2186.90229479
282,2186.97776833
283,1913.83817273
284,2460.17773632
285,2186.82606836
286,1913.58486229
287,1913.66893965
288,1913.74194833
289,1913.57564142
290,1913.56885401
291,2186.81699471
292,1913.61604634
293,1913.84060221
294,2187.27880245
295,3007.63634902
296,3282.58795217
297,3283.23687105
298,3556.33267393
299,3283.26729381
300,3556.19462674
301,3281.70732057
302,3282.32697037
303,3008.5751944
304,2734.7761614
305,2734.52661803
306,2461.1115912
307,2734.37613629
308,2733.88566464
309,2187.17705173
310,2187.23314036
311,2187.08090333
312,2186.98229116
313,2186.6870093
314,2186.88880136
315,1913.35197484
316,1913.50898711
317,1913.51411437
318,1640.37567154
319,1913.52376996
320,1913.3689484
321,1913.25346919
322,1640.24384647
323,1913.54824355
324,2186.66867875
325,1913.55926881
326,1913.53291108
327,1913.48228731
328,1913.49524738
329,1913.91229315
330,1914.03012684
331,1914.04374675
332,1914.09755561
333,2460.1751159
334,3555.47578167
335,2461.76789028
336,3008.50950567
337,3008.4145516
338,3008.46044652
339,2461.2915928
340,2461.2845388
341,2734.79298886
342,2734.81684885
343,2734.03008675
344,2187.37424784
345,2186.93344576
346,2186.84112428
347,2187.46557187
348,2187.81558877
349,2187.07512326
350,1640.32494806
351,1640.45772035
352,1640.31263789
353,2186.85626133
354,2186.69509587
355,1640.2749545
356,1640.36020302
357,2460.57878839
358,2734.55337621
359,2734.26509508
360,2186.69755838
361,2186.67462183
362,1640.28552398
363,1640.31801873
364,1640.39309794
365,2187.16576908
366,2187.48264496
367,2735.16913599
368,2735.3654379
369,2187.10924574
370,1913.56158301
371,2735.21075511
372,3282.96146477
373,3009.20102426
374,3009.05755681
375,3009.24695839
376,3009.25108195
377,3283.28540624
378,3283.24371044
379,3282.86670065
380,3283.39030163
381,3282.92454405
382,3282.79958188
383,3282.85164318
384,3282.75571208
385,3282.78386721
386,3282.84601474
387,3282.88492743
388,3283.2179451
389,3283.29872059
390,3282.93048053
391,3008.97572005
392,2734.78631254
393,2460.99124936
394,2461.15170701
395,2735.36435583
396,2735.34292315
397,3281.73150353
398,2735.36058615
399,3281.70558759
400,2461.14137536
401,2460.8753224
402,2734.27317343
403,2460.87900808
404,2460.7662331
405,2187.0248292
406,2187.24731423
407,1913.91775684
408,1913.58272518
409,2734.23930696
410,1640.07719523
411,1913.69473154
412,1913.70043995
413,3281.67077086
414,3281.05423126
415,1914.08095411
416,2734.86803023
417,2188.9394568
418,4381.44031642
419,23451.5856894
420,23689.9099154
421,23695.5567513
422,23691.3741166
423,14415.4177505
424,23614.1592768
425,23563.9364793
426,23661.0537559
427,23520.8695296
428,23683.6087325
429,23680.1191646
430,23678.1038996
431,23615.052355
432,23696.0415802
433,23664.2313011
434,23572.9634136
435,23467.7121821
436,23597.9416909
437,23625.4669067
438,23694.9026033
439,23672.1723846
440,23697.8361249
441,23667.5771785
442,23535.3688076
443,23678.4175598
444,23692.7850535
445,23660.3601157
446,23675.8802662
447,23651.1509341
448,23638.6827487
449,23654.6100698
450,23677.1913466
451,23665.6399905
452,23694.3453473
453,23540.3667806
454,23394.5696969
455,23638.2504166
456,23648.589948
457,23522.259261
458,23696.3572015
459,23680.8569277
460,23664.7264939
461,23691.5683353
462,23688.6614122
463,23655.8920706
464,23635.1145778
465,23678.4350213
466,23676.3682928
467,23676.378874
468,23667.1149476
469,23656.2272571
470,23613.1903866
471,23696.4712983
472,23533.5826208
473,23677.3786763
474,23694.3442569
475,23604.8855652
476,23631.3611277
477,23678.2433947
478,23686.6801681
479,23669.3743104
480,23590.6097389
481,23683.8514049
482,23684.7479579
483,23697.5112018
484,23667.185662
485,23456.4171364
486,23548.2119175
487,23668.5873629
488,23697.0621134
489,23665.3071292
490,23636.1316992
491,23675.732179
492,23695.0454486
493,23658.2644417
494,23693.9014044
495,23690.1904029
496,23670.0671149
497,23615.4050116
498,23672.730052
499,23317.6450896
500,23663.4180204
501,23636.195629
502,23692.7205524
503,23608.3307266
504,23629.5968598
505,23587.0061117
506,23663.1135708
507,23516.617191
508,23581.7579292
509,23519.1741776
510,23661.1351426
511,23629.0136802
512,23603.2950757
513,23685.0004745
514,23650.0435393
515,23696.029462
516,23697.8530884
517,23692.950493
518,23581.1692408
519,23683.2530786
520,23633.569125
521,23418.8587991
522,23618.4292468
523,23516.9855082
524,23704.1137501
525,23698.101382
526,23648.7167607
527,23694.3207062
528,23686.3826628
529,23694.7479759
530,23610.2579812
531,23650.9535232
532,23588.0506853
533,23679.9771353
534,23592.6754497
535,23636.4686924
536,23517.3766184
537,23649.4129089
538,23543.0993753
539,23633.3978776
540,23690.5581202
541,23587.2366029
542,23570.0526417
543,23696.4094507
544,23656.1822989
545,23656.8224013
546,23688.9941268
547,23693.5147391
548,23549.1930755
549,23561.2667378
550,23507.1137081
551,23659.5089246
552,23681.2863877
553,23691.61485
554,23695.4043771
555,23648.5835139
556,23647.4337022
557,23655.5369387
558,23664.5390474
559,23630.0615309
560,23626.6575705
561,23644.3841307
562,23678.8123525
563,23613.7543069
564,23506.9765108
565,23693.7657457
566,23619.7008418
567,23686.0340479
568,23668.2382029
569,23600.9497978
570,23683.0647004
571,23695.9939418
572,23691.7754504
573,23697.7805144
574,23623.7954195
575,23672.4565122
576,23662.4718012
577,23691.5141265
578,23524.6559078
579,23661.9739071
580,23681.4596884
581,23661.7773011
582,23658.5679294
583,23682.4825748
584,23665.2376068
585,23664.6927714
586,23621.3254331
587,23692.8293616
588,23698.0313625
589,23684.3591897
590,23530.8834298
591,23646.1030147
592,23600.0938654
593,23576.7138881
594,23692.9329406
595,23655.2181171
596,23697.5430206
597,23592.5098164
598,23697.7438795
599,23650.6178036
600,23634.1423686
601,23695.2811734
602,23678.9519097
603,23675.6945952
604,23522.0222098
605,23697.5539484
606,23657.8688369
607,23484.5562159
608,23601.8258885
609,23672.1185654
610,23643.1646498
